company,conm,conml,cik,tic,fyear,report
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1981,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1982,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1983,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1984,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1985,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1986,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1988,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1989,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1990,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1991,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1993,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1994,1.0
aar corp,AAR CORP,AAR Corp,1750.0,AIR,1995,1.0
acf industries inc,ACF INDUSTRIES HOLDING CORP,ACF Industries Holding Corp,910627.0,4165A,1980,1.0
acf industries inc,ACF INDUSTRIES HOLDING CORP,ACF Industries Holding Corp,910627.0,4165A,1981,1.0
acf industries inc,ACF INDUSTRIES HOLDING CORP,ACF Industries Holding Corp,910627.0,4165A,1982,1.0
acf industries inc,ACF INDUSTRIES HOLDING CORP,ACF Industries Holding Corp,910627.0,4165A,1983,1.0
adi electronics inc,ADI ELECTRONICS INC,ADI Electronics Inc,354609.0,4327B,1985,1.0
afg industries inc,AFG INDUSTRIES INC,AFG Industries Inc,7668.0,5548C,1985,1.0
afg industries inc,AFG INDUSTRIES INC,AFG Industries Inc,7668.0,5548C,1986,1.0
afg industries inc,AFG INDUSTRIES INC,AFG Industries Inc,7668.0,5548C,1987,1.0
afg industries inc,AFG INDUSTRIES INC,AFG Industries Inc,7668.0,5548C,1988,1.0
afg industries inc,AFG INDUSTRIES INC,AFG Industries Inc,7668.0,5548C,1989,1.0
ags computers inc,AGS COMPUTERS INC,AGS Computers Inc,2844.0,AGS.2,1984,1.0
ags computers inc,AGS COMPUTERS INC,AGS Computers Inc,2844.0,AGS.2,1985,1.0
ags computers inc,AGS COMPUTERS INC,AGS Computers Inc,2844.0,AGS.2,1986,1.0
ags computers inc,AGS COMPUTERS INC,AGS Computers Inc,2844.0,AGS.2,1987,1.0
aic photo inc,A I C INTL INC,A I C International Inc,2880.0,4225B,1985,1.0
aic international inc,A I C INTL INC,A I C International Inc,2880.0,4225B,1986,1.0
aic international inc,A I C INTL INC,A I C International Inc,2880.0,4225B,1987,1.0
aic international inc,A I C INTL INC,A I C International Inc,2880.0,4225B,1988,1.0
aic international inc,A I C INTL INC,A I C International Inc,2880.0,4225B,1989,1.0
aic international inc,A I C INTL INC,A I C International Inc,2880.0,4225B,1990,1.0
aim telephones inc,AIM TELEPHONES INC,AIM Telephones Inc,354173.0,7547B,1987,1.0
aim telephones inc,AIM TELEPHONES INC,AIM Telephones Inc,354173.0,7547B,1990,1.0
a l laboratories inc,ALPHARMA INC  -CL A,Alpharma Inc.,730469.0,ALO.2,1984,1.0
a l laboratories inc,ALPHARMA INC  -CL A,Alpharma Inc.,730469.0,ALO.2,1985,1.0
a l laboratories inc,ALPHARMA INC  -CL A,Alpharma Inc.,730469.0,ALO.2,1986,1.0
a l laboratories inc,ALPHARMA INC  -CL A,Alpharma Inc.,730469.0,ALO.2,1988,1.0
a l laboratories inc,ALPHARMA INC  -CL A,Alpharma Inc.,730469.0,ALO.2,1989,1.0
a l laboratories inc,ALPHARMA INC  -CL A,Alpharma Inc.,730469.0,ALO.2,1991,1.0
a l laboratories inc,ALPHARMA INC  -CL A,Alpharma Inc.,730469.0,ALO.2,1992,1.0
